            date          type  year  avg_price         size      nb_sold
0     2015-12-27  conventional  2015       0.95        small   9626901.09
1     2015-12-20  conventional  2015       0.98        small   8710021.76
2     2015-12-13  conventional  2015       0.93        small   9855053.66
3     2015-12-06  conventional  2015       0.89        small   9405464.36
4     2015-11-29  conventional  2015       0.99        small   8094803.56
5     2015-11-22  conventional  2015       0.96        small   8571849.80
6     2015-11-15  conventional  2015       0.92        small   9907981.27
7     2015-11-08  conventional  2015       0.97        small   9991330.31
8     2015-11-01  conventional  2015       0.97        small  10138703.85
9     2015-10-25  conventional  2015       1.04        small   8683958.80
10    2015-10-18  conventional  2015       0.99        small   9162094.14
11    2015-10-11  conventional  2015       1.00        small   8828340.53
12    2015-10-04  conventional  2015       1.02        small   8353619.97
13    2015-09-27  conventional  2015       1.03        small   8454208.80
14    2015-09-20  conventional  2015       1.02        small   9422275.27
15    2015-09-13  conventional  2015       1.03        small   9875018.48
16    2015-09-06  conventional  2015       1.02        small  12569277.14
17    2015-08-30  conventional  2015       1.07        small  11650976.87
18    2015-08-23  conventional  2015       1.08        small  11283021.31
19    2015-08-16  conventional  2015       1.05        small  12680252.48
20    2015-08-09  conventional  2015       1.05        small  13003371.07
21    2015-08-02  conventional  2015       1.09        small  12115233.76
22    2015-07-26  conventional  2015       1.07        small  12196225.93
23    2015-07-19  conventional  2015       1.07        small  12742760.17
24    2015-07-12  conventional  2015       1.07        small  12384449.40
25    2015-07-05  conventional  2015       1.04        small  15643939.37
26    2015-06-28  conventional  2015       1.06        small  13299568.71
27    2015-06-21  conventional  2015       1.02        small  14699604.93
28    2015-06-14  conventional  2015       0.98        small  16383685.07
29    2015-06-07  conventional  2015       1.00        small  16529797.60
...          ...           ...   ...        ...          ...          ...
984   2017-04-30       organic  2017       1.68  extra_large      5187.46
985   2017-04-23       organic  2017       1.61  extra_large      3245.62
986   2017-04-16       organic  2017       1.49  extra_large      5096.43
987   2017-04-09       organic  2017       1.43  extra_large      8972.11
988   2017-04-02       organic  2017       1.42  extra_large      3767.76
989   2017-03-26       organic  2017       1.29  extra_large      3888.05
990   2017-03-19       organic  2017       1.50  extra_large      3304.62
991   2017-03-12       organic  2017       1.38  extra_large      3188.52
992   2017-03-05       organic  2017       1.16  extra_large      2542.94
993   2017-02-26       organic  2017       1.21  extra_large      3747.77
994   2017-02-19       organic  2017       1.31  extra_large      3295.09
995   2017-02-12       organic  2017       1.41  extra_large      3486.20
996   2017-02-05       organic  2017       1.36  extra_large      2238.78
997   2017-01-29       organic  2017       1.43  extra_large      3524.96
998   2017-01-22       organic  2017       1.37  extra_large      6707.82
999   2017-01-15       organic  2017       1.44  extra_large      8750.08
1000  2017-01-08       organic  2017       1.43  extra_large      8697.35
1001  2017-01-01       organic  2017       1.48  extra_large      4425.75
1002  2018-03-25       organic  2018       1.55  extra_large      1070.24
1003  2018-03-18       organic  2018       1.54  extra_large      1045.38
1004  2018-03-11       organic  2018       1.52  extra_large      1401.87
1005  2018-03-04       organic  2018       1.52  extra_large      1225.97
1006  2018-02-25       organic  2018       1.57  extra_large      1063.32
1007  2018-02-18       organic  2018       1.52  extra_large      1905.46
1008  2018-02-11       organic  2018       1.56  extra_large      1839.80
1009  2018-02-04       organic  2018       1.53  extra_large      1703.52
1010  2018-01-28       organic  2018       1.61  extra_large      1270.61
1011  2018-01-21       organic  2018       1.63  extra_large      1490.02
1012  2018-01-14       organic  2018       1.59  extra_large      1580.01
1013  2018-01-07       organic  2018       1.51  extra_large      1289.07

[1014 rows x 6 columns]
            date          type  year  avg_price         size      nb_sold
0     2015-12-27  conventional  2015       0.95        small   9626901.09
1     2015-12-20  conventional  2015       0.98        small   8710021.76
2     2015-12-13  conventional  2015       0.93        small   9855053.66
3     2015-12-06  conventional  2015       0.89        small   9405464.36
4     2015-11-29  conventional  2015       0.99        small   8094803.56
5     2015-11-22  conventional  2015       0.96        small   8571849.80
6     2015-11-15  conventional  2015       0.92        small   9907981.27
7     2015-11-08  conventional  2015       0.97        small   9991330.31
8     2015-11-01  conventional  2015       0.97        small  10138703.85
9     2015-10-25  conventional  2015       1.04        small   8683958.80
10    2015-10-18  conventional  2015       0.99        small   9162094.14
11    2015-10-11  conventional  2015       1.00        small   8828340.53
12    2015-10-04  conventional  2015       1.02        small   8353619.97
13    2015-09-27  conventional  2015       1.03        small   8454208.80
14    2015-09-20  conventional  2015       1.02        small   9422275.27
15    2015-09-13  conventional  2015       1.03        small   9875018.48
16    2015-09-06  conventional  2015       1.02        small  12569277.14
17    2015-08-30  conventional  2015       1.07        small  11650976.87
18    2015-08-23  conventional  2015       1.08        small  11283021.31
19    2015-08-16  conventional  2015       1.05        small  12680252.48
20    2015-08-09  conventional  2015       1.05        small  13003371.07
21    2015-08-02  conventional  2015       1.09        small  12115233.76
22    2015-07-26  conventional  2015       1.07        small  12196225.93
23    2015-07-19  conventional  2015       1.07        small  12742760.17
24    2015-07-12  conventional  2015       1.07        small  12384449.40
25    2015-07-05  conventional  2015       1.04        small  15643939.37
26    2015-06-28  conventional  2015       1.06        small  13299568.71
27    2015-06-21  conventional  2015       1.02        small  14699604.93
28    2015-06-14  conventional  2015       0.98        small  16383685.07
29    2015-06-07  conventional  2015       1.00        small  16529797.60
...          ...           ...   ...        ...          ...          ...
984   2017-04-30       organic  2017       1.68  extra_large      5187.46
985   2017-04-23       organic  2017       1.61  extra_large      3245.62
986   2017-04-16       organic  2017       1.49  extra_large      5096.43
987   2017-04-09       organic  2017       1.43  extra_large      8972.11
988   2017-04-02       organic  2017       1.42  extra_large      3767.76
989   2017-03-26       organic  2017       1.29  extra_large      3888.05
990   2017-03-19       organic  2017       1.50  extra_large      3304.62
991   2017-03-12       organic  2017       1.38  extra_large      3188.52
992   2017-03-05       organic  2017       1.16  extra_large      2542.94
993   2017-02-26       organic  2017       1.21  extra_large      3747.77
994   2017-02-19       organic  2017       1.31  extra_large      3295.09
995   2017-02-12       organic  2017       1.41  extra_large      3486.20
996   2017-02-05       organic  2017       1.36  extra_large      2238.78
997   2017-01-29       organic  2017       1.43  extra_large      3524.96
998   2017-01-22       organic  2017       1.37  extra_large      6707.82
999   2017-01-15       organic  2017       1.44  extra_large      8750.08
1000  2017-01-08       organic  2017       1.43  extra_large      8697.35
1001  2017-01-01       organic  2017       1.48  extra_large      4425.75
1002  2018-03-25       organic  2018       1.55  extra_large      1070.24
1003  2018-03-18       organic  2018       1.54  extra_large      1045.38
1004  2018-03-11       organic  2018       1.52  extra_large      1401.87
1005  2018-03-04       organic  2018       1.52  extra_large      1225.97
1006  2018-02-25       organic  2018       1.57  extra_large      1063.32
1007  2018-02-18       organic  2018       1.52  extra_large      1905.46
1008  2018-02-11       organic  2018       1.56  extra_large      1839.80
1009  2018-02-04       organic  2018       1.53  extra_large      1703.52
1010  2018-01-28       organic  2018       1.61  extra_large      1270.61
1011  2018-01-21       organic  2018       1.63  extra_large      1490.02
1012  2018-01-14       organic  2018       1.59  extra_large      1580.01
1013  2018-01-07       organic  2018       1.51  extra_large      1289.07

[1014 rows x 6 columns]
